Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 0 (Male),0.133,6244,6247,03:28,03:28
WingExt,Fly 0 (Male),0.167,6263,6267,03:29,03:29
WingExt,Fly 0 (Male),0.133,6276,6279,03:29,03:29
WingExt,Fly 0 (Male),0.1,6285,6287,03:30,03:30
WingExt,Fly 0 (Male),0.2,6363,6368,03:32,03:32
WingExt,Fly 1 (Female),0.1,6371,6373,03:32,03:32
WingExt,Fly 1 (Female),0.1,6375,6377,03:32,03:33
WingExt,Fly 1 (Female),0.133,6380,6383,03:33,03:33
WingExt,Fly 1 (Female),0.233,6387,6393,03:33,03:33
WingExt,Fly 1 (Female),0.133,6408,6411,03:34,03:34
WingExt,Fly 1 (Female),0.1,6418,6420,03:34,03:34
WingExt,Fly 0 (Male),0.167,6422,6426,03:34,03:34
WingExt,Fly 1 (Female),0.267,6422,6429,03:34,03:34
WingExt,Fly 0 (Male),0.3,6431,6439,03:34,03:35
WingExt,Fly 1 (Female),0.1,6431,6433,03:34,03:34
WingExt,Fly 1 (Female),0.133,6435,6438,03:34,03:35
WingExt,Fly 0 (Male),0.133,6442,6445,03:35,03:35
WingExt,Fly 1 (Female),0.1,6447,6449,03:35,03:35
WingExt,Fly 0 (Male),0.133,6473,6476,03:36,03:36
WingExt,Fly 0 (Male),0.1,6500,6502,03:37,03:37
WingExt,Fly 1 (Female),0.4,6514,6525,03:37,03:38
WingExt,Fly 0 (Male),0.2,6519,6524,03:37,03:37
WingExt,Fly 0 (Male),0.267,6526,6533,03:38,03:38
WingExt,Fly 0 (Male),0.1,6535,6537,03:38,03:38
WingExt,Fly 1 (Female),0.133,6535,6538,03:38,03:38
WingExt,Fly 0 (Male),0.133,6539,6542,03:38,03:38
WingExt,Fly 0 (Male),0.133,6544,6547,03:38,03:38
WingExt,Fly 0 (Male),0.1,6550,6552,03:38,03:38
WingExt,Fly 0 (Male),0.1,6557,6559,03:39,03:39
WingExt,Fly 0 (Male),0.133,6575,6578,03:39,03:39
WingExt,Fly 0 (Male),0.133,6580,6583,03:39,03:39
WingExt,Fly 0 (Male),0.1,6588,6590,03:40,03:40
WingExt,Fly 1 (Female),0.267,6599,6606,03:40,03:40
WingExt,Fly 0 (Male),0.1,6604,6606,03:40,03:40
WingExt,Fly 0 (Male),0.167,6610,6614,03:40,03:40
WingExt,Fly 0 (Male),0.1,6622,6624,03:41,03:41
WingExt,Fly 1 (Female),0.1,6627,6629,03:41,03:41
WingExt,Fly 1 (Female),0.1,6645,6647,03:42,03:42
WingExt,Fly 1 (Female),0.133,6649,6652,03:42,03:42
WingExt,Fly 0 (Male),0.167,6653,6657,03:42,03:42
WingExt,Fly 0 (Male),0.1,6666,6668,03:42,03:42
WingExt,Fly 1 (Female),0.167,6667,6671,03:42,03:42
WingExt,Fly 0 (Male),0.167,6671,6675,03:42,03:42
WingExt,Fly 1 (Female),0.133,6691,6694,03:43,03:43
WingExt,Fly 1 (Female),0.1,6701,6703,03:43,03:43
WingExt,Fly 1 (Female),0.133,6705,6708,03:44,03:44
WingExt,Fly 0 (Male),0.133,6710,6713,03:44,03:44
WingExt,Fly 0 (Male),0.1,6732,6734,03:44,03:44
WingExt,Fly 0 (Male),0.167,6755,6759,03:45,03:45
WingExt,Fly 1 (Female),0.133,6764,6767,03:45,03:46
WingExt,Fly 0 (Male),0.1,6766,6768,03:46,03:46
WingExt,Fly 1 (Female),0.2,6772,6777,03:46,03:46
WingExt,Fly 0 (Male),0.1,6776,6778,03:46,03:46
WingExt,Fly 0 (Male),0.167,6817,6821,03:47,03:47
WingExt,Fly 1 (Female),0.133,6817,6820,03:47,03:47
WingExt,Fly 0 (Male),0.1,6832,6834,03:48,03:48
